query_index,embedding_ms,retrieval_flat_ms,retrieval_quantized_ms,rerank_ms,vector_only_total_ms,vector_rerank_total_ms
128,20.31,118.32,31.09,3355.21,138.63,3493.84
129,23.34,163.59,15.64,3243.02,186.93,3429.95
130,18.32,148.44,19.10,3291.27,166.76,3458.03
131,23.94,130.11,14.30,3285.45,154.06,3439.51
132,18.93,127.21,14.85,3399.34,146.13,3545.47
133,20.80,165.72,20.20,3339.08,186.52,3525.59
134,29.20,171.41,28.61,3215.29,200.60,3415.90
135,25.59,111.52,15.49,3262.41,137.11,3399.51
136,19.28,120.68,20.83,3064.65,139.96,3204.61
137,22.29,130.69,11.83,3143.92,152.97,3296.89
138,17.63,107.11,19.99,3216.62,124.74,3341.36
139,21.44,106.11,13.74,3237.05,127.56,3364.60
140,20.31,140.47,30.64,3319.80,160.78,3480.58
141,24.39,164.18,17.97,3237.02,188.57,3425.59
142,21.49,110.06,16.04,3188.49,131.55,3320.04
143,18.23,109.04,9.87,3215.37,127.27,3342.64
144,17.72,110.17,19.41,3163.21,127.89,3291.11
145,20.25,107.71,16.71,3234.80,127.96,3362.75
146,20.67,123.94,26.60,3202.21,144.61,3346.82
147,23.77,121.64,19.74,3124.74,145.41,3270.15
148,22.19,104.92,15.58,3163.57,127.10,3290.68
149,18.85,107.97,14.24,3140.65,126.83,3267.48
150,19.36,106.31,23.41,3652.01,125.68,3777.69
151,36.91,210.15,14.23,3836.55,247.06,4083.62
152,23.23,168.65,37.76,3804.81,191.89,3996.70
153,37.01,186.42,19.72,3893.13,223.43,4116.56
154,32.92,172.75,16.64,3808.49,205.67,4014.16
155,25.78,134.34,14.83,3978.32,160.12,4138.44
156,23.35,150.92,20.59,3825.02,174.27,3999.29
157,28.37,157.29,14.85,3847.21,185.66,4032.87
158,32.21,173.25,40.48,4024.49,205.46,4229.95
159,32.49,152.49,17.55,3961.10,184.98,4146.08
160,29.38,150.18,19.86,3830.20,179.56,4009.76
161,23.47,140.85,14.02,3887.28,164.32,4051.61
162,29.12,146.82,21.53,3822.22,175.94,3998.15
163,26.43,147.76,17.52,3851.87,174.19,4026.06
164,39.90,159.14,34.71,1188.03,199.04,1387.07
165,28.90,134.60,23.81,1110.09,163.50,1273.60
166,29.70,137.45,21.20,1097.65,167.16,1264.81
167,40.70,136.63,18.72,1067.97,177.33,1245.30
168,27.08,133.49,16.88,846.35,160.57,1006.93
169,27.22,132.99,15.14,771.31,160.21,931.52
